Transaction Date,Post Date,Description,Category,Type,Amount,Memo
03/05/2026,03/08/2026,PTI* PEEK SELVATURA PA,Entertainment,Return,570.64,
03/08/2026,03/08/2026,MINDBODY - TBYOGAHOUSE,Health & Wellness,Sale,-30.00,
03/05/2026,03/06/2026,OTF PARSIPPANY 0782,Health & Wellness,Sale,-132.21,
03/05/2026,03/05/2026,AUTOMATIC PAYMENT - THANK,,Payment,2252.82,
03/04/2026,03/05/2026,OTF PARSIPPANY 0782,Health & Wellness,Sale,-99.00,
02/28/2026,03/02/2026,MOVD.NYC,Home,Sale,-442.99,
02/27/2026,03/01/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
02/27/2026,03/01/2026,SQ *COFFEE PROJECT NEW YO,Food & Drink,Sale,-7.89,
02/28/2026,03/01/2026,SQ *PICKY BARISTA,Food & Drink,Sale,-13.61,
02/26/2026,03/01/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
02/27/2026,03/01/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
02/27/2026,03/01/2026,TST*RADIO BAKERY 2,Food & Drink,Sale,-35.05,
02/27/2026,03/01/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
02/27/2026,03/01/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
02/26/2026,02/27/2026,SARAVANAA BHAVAN,Food & Drink,Sale,-71.22,
02/25/2026,02/26/2026,MOVD.NYC,Home,Sale,-50.00,
02/24/2026,02/25/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
02/24/2026,02/25/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
02/20/2026,02/24/2026,PANADERIA JIMENEZ,Food & Drink,Sale,-37.66,
02/21/2026,02/23/2026,UKELELE,Food & Drink,Sale,-12.66,
02/22/2026,02/23/2026,WHOLEFDS UWS 10328,Groceries,Sale,-75.47,
02/21/2026,02/23/2026,AVOKATO ATO SJO,Food & Drink,Sale,-30.40,
02/21/2026,02/23/2026,BRITT FACTORY STORE ATO S,Groceries,Sale,-21.93,
02/21/2026,02/23/2026,FRANCO NUNCIATURA,Food & Drink,Sale,-22.15,
02/21/2026,02/23/2026,EL CALLEJON,Food & Drink,Sale,-15.19,
02/20/2026,02/22/2026,EL PUNTO TIENDA DE CONVEN,Groceries,Sale,-3.40,
02/19/2026,02/22/2026,RESTAURANTE JIMENEZ,Food & Drink,Sale,-11.51,
02/20/2026,02/22/2026,FORESTICO,Shopping,Sale,-42.19,
02/20/2026,02/22/2026,ALMACEN CARVIA,Shopping,Sale,-42.19,
02/18/2026,02/20/2026,HOTEL LOS LAGOS SPA AND R,Travel,Sale,-71.98,
02/19/2026,02/20/2026,PROYECTO N.1 SELVATURA,Entertainment,Sale,-180.80,
02/19/2026,02/20/2026,PROYECTO N.1 SELVATURA,Entertainment,Sale,-488.16,
02/17/2026,02/19/2026,THE GREEN SPOON,Food & Drink,Sale,-15.01,
02/16/2026,02/18/2026,SAFFRON INDIAN FOOD BAR A,Food & Drink,Sale,-143.50,
02/16/2026,02/18/2026,SOUVENIR ARTESANAL,Shopping,Sale,-37.60,
02/16/2026,02/17/2026,NORTH FIELDS CAFE,Travel,Sale,-30.29,
02/14/2026,02/16/2026,UKELELE,Food & Drink,Sale,-12.44,
02/15/2026,02/16/2026,JETBLUE     2792104223274,Travel,Sale,-11.20,
02/14/2026,02/16/2026,FRANCO,Food & Drink,Sale,-33.59,
02/14/2026,02/16/2026,SANTO PECADO ESCALANTE,Food & Drink,Sale,-113.64,
02/13/2026,02/15/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
02/14/2026,02/15/2026,UNIQLO 5th Avenue,Shopping,Sale,-139.60,
02/13/2026,02/15/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
02/13/2026,02/15/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
02/13/2026,02/15/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
02/14/2026,02/15/2026,HUDSON NEWS ST1555,Shopping,Sale,-8.23,
02/14/2026,02/15/2026,WT* PRIVATE TRANSFER F,Personal,Sale,-42.74,
02/12/2026,02/13/2026,SQ *NEW GREAT SHAPE THREA,Personal,Sale,-120.75,
02/12/2026,02/13/2026,European Wax Center,Health & Wellness,Sale,-47.28,
02/11/2026,02/12/2026,MASQUERADE,Entertainment,Sale,-1050.00,
02/10/2026,02/12/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
02/11/2026,02/12/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
02/10/2026,02/12/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
02/11/2026,02/12/2026,COLOGO NAIL AND SPA,Personal,Sale,-66.15,
02/09/2026,02/10/2026,GRUBHUB*PLUETHAI,Food & Drink,Sale,-53.92,
02/09/2026,02/09/2026,AZYMI SERVICES,Personal,Sale,-190.00,
